PermissionName,ApplicationPermission,DelegatePermission,Description,ApiCount,ApplicationGuid,DelegateGuid,SourceFiles,View
AccessReview.Read.All,False,False,Read all access reviews that user can access,0,,,,https://graphpermissions.merill.net/permission/AccessReview.Read.All.html
AccessReview.ReadWrite.All,False,False,Manage all access reviews that user can access,0,,,,https://graphpermissions.merill.net/permission/AccessReview.ReadWrite.All.html
AccessReview.ReadWrite.Membership,False,False,Manage access reviews for group and app memberships,0,,,,https://graphpermissions.merill.net/permission/AccessReview.ReadWrite.Membership.html
Acronym.Read.All,False,False,Read all acronyms that the user can access,0,,,,https://graphpermissions.merill.net/permission/Acronym.Read.All.html
AdministrativeUnit.Read.All,False,False,Read administrative units,0,,,,https://graphpermissions.merill.net/permission/AdministrativeUnit.Read.All.html
AdministrativeUnit.ReadWrite.All,False,False,Read and write administrative units,2,,,administrativeunit-post-members|administrativeunit-post-members|administrativeunit-post-members|admi,https://graphpermissions.merill.net/permission/AdministrativeUnit.ReadWrite.All.html
Agreement.Read.All,False,False,Read all terms of use agreements,0,,,,https://graphpermissions.merill.net/permission/Agreement.Read.All.html
Agreement.ReadWrite.All,False,False,Read and write all terms of use agreements,0,,,,https://graphpermissions.merill.net/permission/Agreement.ReadWrite.All.html
AgreementAcceptance.Read.All,False,False,Read terms of use acceptance statuses that user can access,0,,,,https://graphpermissions.merill.net/permission/AgreementAcceptance.Read.All.html
APIConnectors.Read.All,False,False,Read API connectors for authentication flows,0,,,,https://graphpermissions.merill.net/permission/APIConnectors.Read.All.html
APIConnectors.ReadWrite.All,False,False,Read and write API connectors for authentication flows,0,,,,https://graphpermissions.merill.net/permission/APIConnectors.ReadWrite.All.html
AppCatalog.Read.All,False,False,Read all app catalogs,1,,,appcatalogs-list-teamsapps|appcatalogs-list-teamsapps|appcatalogs-list-teamsapps|appcatalogs-list-te,https://graphpermissions.merill.net/permission/AppCatalog.Read.All.html
AppCatalog.ReadWrite.All,False,False,Read and write to all app catalogs,4,,,appcatalogs-list-teamsapps|appcatalogs-list-teamsapps|teamsapp-delete|teamsapp-publish|teamsapp-upda,https://graphpermissions.merill.net/permission/AppCatalog.ReadWrite.All.html
Application-RemoteDesktopConfig.ReadWrite.All,False,False,Read and write the remote desktop security configuration for apps,9,,,remotedesktopsecurityconfiguration-delete-targetdevicegroups|remotedesktopsecurityconfiguration-dele,https://graphpermissions.merill.net/permission/Application-RemoteDesktopConfig.ReadWrite.All.html
Application.Read.All,False,False,Read applications,29,,,application-list|application-list|application-list|appmanagementpolicy-delete-appliesto|appmanagemen,https://graphpermissions.merill.net/permission/Application.Read.All.html
Application.ReadWrite.All,False,False,Read and write all applications,67,,,application-delete-tokenissuancepolicies|application-delete-tokenissuancepolicies|application-delete,https://graphpermissions.merill.net/permission/Application.ReadWrite.All.html
Application.ReadWrite.OwnedBy,False,False,Manage apps that this app creates or owns,52,,,application-delete-tokenissuancepolicies|application-delete-tokenissuancepolicies|application-delete,https://graphpermissions.merill.net/permission/Application.ReadWrite.OwnedBy.html
AppRoleAssignment.ReadWrite.All,False,False,Manage app permission grants and app role assignments,4,,,serviceprincipal-post-approleassignedto|serviceprincipal-post-approleassignedto|serviceprincipal-pos,https://graphpermissions.merill.net/permission/AppRoleAssignment.ReadWrite.All.html
AttackSimulation.Read.All,False,False,Read attack simulation data of an organization,15,,,attacksimulationoperation-get|attacksimulationoperation-get|attacksimulationroot-list-endusernotific,https://graphpermissions.merill.net/permission/AttackSimulation.Read.All.html
AttackSimulation.ReadWrite.All,False,False,"Read, create, and update attack simulation data of an organization",17,,,attacksimulationroot-list-endusernotifications|attacksimulationroot-list-endusernotifications|attack,https://graphpermissions.merill.net/permission/AttackSimulation.ReadWrite.All.html
AuditLog.Read.All,False,False,Read audit log data,8,,,authenticationmethodsroot-list-userregistrationdetails|authenticationmethodsroot-list-userregistrati,https://graphpermissions.merill.net/permission/AuditLog.Read.All.html
AuditLogsQuery-CRM.Read.All,False,False,Read audit logs data from Dynamics CRM workload,0,,,,https://graphpermissions.merill.net/permission/AuditLogsQuery-CRM.Read.All.html
AuditLogsQuery-Endpoint.Read.All,False,False,Read audit logs data from Endpoint Data Loss Prevention workload,0,,,,https://graphpermissions.merill.net/permission/AuditLogsQuery-Endpoint.Read.All.html
AuditLogsQuery-Entra.Read.All,False,False,Read audit logs data from Entra (Azure AD) workload,0,,,,https://graphpermissions.merill.net/permission/AuditLogsQuery-Entra.Read.All.html
AuditLogsQuery-Exchange.Read.All,False,False,Read audit logs data from Exchange workload,0,,,,https://graphpermissions.merill.net/permission/AuditLogsQuery-Exchange.Read.All.html
AuditLogsQuery-General.Read.All,False,False,Read audit logs data from workloads other than those listed above,0,,,,https://graphpermissions.merill.net/permission/AuditLogsQuery-General.Read.All.html
AuditLogsQuery-OneDrive.Read.All,False,False,Read audit logs data from OneDrive workload,0,,,,https://graphpermissions.merill.net/permission/AuditLogsQuery-OneDrive.Read.All.html
AuditLogsQuery-SharePoint.Read.All,False,False,Read audit logs data from SharePoint workload,0,,,,https://graphpermissions.merill.net/permission/AuditLogsQuery-SharePoint.Read.All.html
AuditLogsQuery.Read.All,False,False,Read audit logs data from all services,0,,,,https://graphpermissions.merill.net/permission/AuditLogsQuery.Read.All.html
