PermissionName,ApplicationPermission,DelegatePermission,Description,ApiCount,ApplicationGuid,DelegateGuid,SourceFiles,View
AccessReview.Read.All,False,False,Read all access reviews that user can access,25,,,accessreviewinstance-get|accessreviewinstance-get|accessreviewscheduledefinition-get|accessreviewsch,https://graphpermissions.merill.net/permission/AccessReview.Read.All.html
AccessReview.ReadWrite.All,False,False,Manage all access reviews that user can access,59,,,accessreviewinstance-get|accessreviewinstance-get|accessreviewset-post-definitions|accessreviewset-p,https://graphpermissions.merill.net/permission/AccessReview.ReadWrite.All.html
AccessReview.ReadWrite.Membership,False,False,Manage access reviews for group and app memberships,14,,,accessreview-sendreminder|accessreview-sendreminder|accessreview-get|accessreview-get|accessreview-c,https://graphpermissions.merill.net/permission/AccessReview.ReadWrite.Membership.html
Acronym.Read.All,False,False,Read all acronyms that the user can access,1,,,search-query|search-query|,https://graphpermissions.merill.net/permission/Acronym.Read.All.html
AdministrativeUnit.Read.All,False,False,Read administrative units,32,,,directoryobject-delta|directoryobject-delta|directoryobject-delta|directoryobject-delta|directoryobj,https://graphpermissions.merill.net/permission/AdministrativeUnit.Read.All.html
AdministrativeUnit.ReadWrite.All,False,False,Read and write administrative units,23,,,administrativeunit-delete-members|administrativeunit-delete-members|directory-post-administrativeuni,https://graphpermissions.merill.net/permission/AdministrativeUnit.ReadWrite.All.html
Agreement.Read.All,False,False,Read all terms of use agreements,5,,,agreement-get|termsofusecontainer-list-agreements|agreementfile-list-localizations|agreementfile-get,https://graphpermissions.merill.net/permission/Agreement.Read.All.html
Agreement.ReadWrite.All,False,False,Read and write all terms of use agreements,6,,,agreement-delete|agreement-update|termsofusecontainer-post-agreements|agreement-post-files|agreement,https://graphpermissions.merill.net/permission/Agreement.ReadWrite.All.html
AgreementAcceptance.Read.All,False,False,Read terms of use acceptance statuses that user can access,3,,,agreement-list-acceptances|user-list-agreementacceptances|user-list-agreementacceptances|agreement-l,https://graphpermissions.merill.net/permission/AgreementAcceptance.Read.All.html
AiEnterpriseInteraction.Read.All,False,False,Read all AI enterprise interactions.,0,,,,https://graphpermissions.merill.net/permission/AiEnterpriseInteraction.Read.All.html
APIConnectors.Read.All,False,False,Read API connectors for authentication flows,0,,,,https://graphpermissions.merill.net/permission/APIConnectors.Read.All.html
APIConnectors.ReadWrite.All,False,False,Read and write API connectors for authentication flows,6,,,identityapiconnector-uploadclientcertificate|identityapiconnector-uploadclientcertificate|identityap,https://graphpermissions.merill.net/permission/APIConnectors.ReadWrite.All.html
AppCatalog.Read.All,False,False,Read all app catalogs,7,,,appcatalogs-list-teamsapps|appcatalogs-list-teamsapps|teamworkbot-get|teamworkbot-get|teamworkhosted,https://graphpermissions.merill.net/permission/AppCatalog.Read.All.html
AppCatalog.ReadWrite.All,False,False,Read and write to all app catalogs,10,,,teamsapp-delete|teamsapp-update|appcatalogs-list-teamsapps|appcatalogs-list-teamsapps|teamworkbot-ge,https://graphpermissions.merill.net/permission/AppCatalog.ReadWrite.All.html
Application-RemoteDesktopConfig.ReadWrite.All,False,False,Read and write the remote desktop security configuration for apps,9,,,remotedesktopsecurityconfiguration-list-targetdevicegroups|remotedesktopsecurityconfiguration-list-t,https://graphpermissions.merill.net/permission/Application-RemoteDesktopConfig.ReadWrite.All.html
Application.Read.All,False,False,Read applications,80,,,serviceprincipal-list-ownedobjects|serviceprincipal-list-ownedobjects|serviceprincipal-list-ownedobj,https://graphpermissions.merill.net/permission/Application.Read.All.html
Application.ReadWrite.All,False,False,Read and write all applications,165,,,serviceprincipal-list-ownedobjects|serviceprincipal-list-ownedobjects|serviceprincipal-list-ownedobj,https://graphpermissions.merill.net/permission/Application.ReadWrite.All.html
Application.ReadWrite.OwnedBy,False,False,Manage apps that this app creates or owns,175,,,synchronization-synchronizationjob-restart|synchronization-synchronizationjob-restart|serviceprincip,https://graphpermissions.merill.net/permission/Application.ReadWrite.OwnedBy.html
AppRoleAssignment.ReadWrite.All,False,False,Manage app permission grants and app role assignments,18,,,serviceprincipal-delete-approleassignedto|serviceprincipal-delete-approleassignedto|serviceprincipal,https://graphpermissions.merill.net/permission/AppRoleAssignment.ReadWrite.All.html
ApprovalSolution.Read.All,False,False,Read all approvals,0,,,,https://graphpermissions.merill.net/permission/ApprovalSolution.Read.All.html
ApprovalSolution.ReadWrite.All,False,False,Read all approvals and manage approval subscriptions,6,,,subscription-post-subscriptions|subscription-get|subscription-reauthorize|subscription-list|subscrip,https://graphpermissions.merill.net/permission/ApprovalSolution.ReadWrite.All.html
AttackSimulation.Read.All,False,False,Read attack simulation data of an organization,35,,,securityreportsroot-getattacksimulationrepeatoffenders|securityreportsroot-getattacksimulationrepeat,https://graphpermissions.merill.net/permission/AttackSimulation.Read.All.html
AttackSimulation.ReadWrite.All,False,False,"Read, create, and update attack simulation data of an organization",14,,,training-get|training-get|landingpage-get|landingpage-get|landingpage-get|landingpage-get|simulation,https://graphpermissions.merill.net/permission/AttackSimulation.ReadWrite.All.html
AuditLog.Read.All,False,False,Read audit log data,14,,,authenticationmethodsroot-usersregisteredbymethod|provisioningobjectsummary-list|provisioningobjects,https://graphpermissions.merill.net/permission/AuditLog.Read.All.html
AuditLogsQuery-CRM.Read.All,False,False,Read audit logs data from Dynamics CRM workload,4,,,security-auditlogquery-list-records|security-auditlogquery-list-records|security-auditcoreroot-list-,https://graphpermissions.merill.net/permission/AuditLogsQuery-CRM.Read.All.html
AuditLogsQuery-Endpoint.Read.All,False,False,Read audit logs data from Endpoint Data Loss Prevention workload,4,,,security-auditlogquery-list-records|security-auditlogquery-list-records|security-auditcoreroot-list-,https://graphpermissions.merill.net/permission/AuditLogsQuery-Endpoint.Read.All.html
AuditLogsQuery-Entra.Read.All,False,False,Read audit logs data from Entra (Azure AD) workload,4,,,security-auditlogquery-list-records|security-auditlogquery-list-records|security-auditcoreroot-list-,https://graphpermissions.merill.net/permission/AuditLogsQuery-Entra.Read.All.html
AuditLogsQuery-Exchange.Read.All,False,False,Read audit logs data from Exchange workload,4,,,security-auditlogquery-list-records|security-auditlogquery-list-records|security-auditcoreroot-list-,https://graphpermissions.merill.net/permission/AuditLogsQuery-Exchange.Read.All.html
AuditLogsQuery-OneDrive.Read.All,False,False,Read audit logs data from OneDrive workload,4,,,security-auditlogquery-list-records|security-auditlogquery-list-records|security-auditcoreroot-list-,https://graphpermissions.merill.net/permission/AuditLogsQuery-OneDrive.Read.All.html
AuditLogsQuery-SharePoint.Read.All,False,False,Read audit logs data from SharePoint workload,4,,,security-auditlogquery-list-records|security-auditlogquery-list-records|security-auditcoreroot-list-,https://graphpermissions.merill.net/permission/AuditLogsQuery-SharePoint.Read.All.html
AuditLogsQuery.Read.All,False,False,Read audit logs data from all services,4,,,security-auditlogquery-list-records|security-auditlogquery-list-records|security-auditcoreroot-list-,https://graphpermissions.merill.net/permission/AuditLogsQuery.Read.All.html
AuthenticationContext.Read.All,False,False,Read all authentication context information,2,,,conditionalaccessroot-list-authenticationcontextclassreferences|conditionalaccessroot-list-authentic,https://graphpermissions.merill.net/permission/AuthenticationContext.Read.All.html
AuthenticationContext.ReadWrite.All,False,False,Read and write all authentication context information,6,,,authenticationcontextclassreference-delete|authenticationcontextclassreference-delete|conditionalacc,https://graphpermissions.merill.net/permission/AuthenticationContext.ReadWrite.All.html
BackupRestore-Configuration.Read.All,False,False,Read backup configuration policies,24,,,protectionpolicybase-get|protectionpolicybase-get|exchangeprotectionpolicy-list-mailboxinclusionrule,https://graphpermissions.merill.net/permission/BackupRestore-Configuration.Read.All.html
BackupRestore-Configuration.ReadWrite.All,False,False,Read and edit backup configuration policies,18,,,protectionpolicybase-delete|protectionpolicybase-delete|sharepointprotectionpolicy-update|sharepoint,https://graphpermissions.merill.net/permission/BackupRestore-Configuration.ReadWrite.All.html
BackupRestore-Control.Read.All,False,False,Read the status of the M365 backup service,3,,,serviceapp-get|serviceapp-get|backuprestoreroot-get|backuprestoreroot-get|backuprestoreroot-list-ser,https://graphpermissions.merill.net/permission/BackupRestore-Control.Read.All.html
BackupRestore-Control.ReadWrite.All,False,False,Update or read the status of the M365 backup service,6,,,backuprestoreroot-delete-serviceapps|backuprestoreroot-delete-serviceapps|backuprestoreroot-post-ser,https://graphpermissions.merill.net/permission/BackupRestore-Control.ReadWrite.All.html
BackupRestore-Monitor.Read.All,False,False,"Read monitoring, quota and billing information for the tenant",0,,,,https://graphpermissions.merill.net/permission/BackupRestore-Monitor.Read.All.html
BackupRestore-Restore.Read.All,False,False,Read restore sessions,6,,,sharepointrestoresession-list-siterestoreartifacts|sharepointrestoresession-list-siterestoreartifact,https://graphpermissions.merill.net/permission/BackupRestore-Restore.Read.All.html
BackupRestore-Restore.ReadWrite.All,False,False,Read restore sessions and start restore sessions from backups,9,,,restoresessionbase-delete|restoresessionbase-delete|backuprestoreroot-post-exchangerestoresessions|b,https://graphpermissions.merill.net/permission/BackupRestore-Restore.ReadWrite.All.html
BackupRestore-Search.Read.All,False,False,Search for metadata properties in backup snapshots,1,,,restorepoint-search|restorepoint-search|restorepoint-search|restorepoint-search|,https://graphpermissions.merill.net/permission/BackupRestore-Search.Read.All.html
BillingConfiguration.ReadWrite.All,False,False,Read and write application billing configuration,0,,,,https://graphpermissions.merill.net/permission/BillingConfiguration.ReadWrite.All.html
BitlockerKey.Read.All,False,False,Read BitLocker keys,2,,,bitlocker-list-recoverykeys|bitlocker-list-recoverykeys|bitlockerrecoverykey-get|bitlockerrecoveryke,https://graphpermissions.merill.net/permission/BitlockerKey.Read.All.html
BitlockerKey.ReadBasic.All,False,False,Read BitLocker keys basic information,2,,,bitlocker-list-recoverykeys|bitlocker-list-recoverykeys|bitlockerrecoverykey-get|bitlockerrecoveryke,https://graphpermissions.merill.net/permission/BitlockerKey.ReadBasic.All.html
Bookings.Manage.All,False,False,Manage bookings information,67,,,bookingbusiness-get|bookingbusiness-get|bookingcustomquestion-update|bookingcustomquestion-update|bo,https://graphpermissions.merill.net/permission/Bookings.Manage.All.html
Bookings.Read.All,False,False,Read bookings information,37,,,bookingbusiness-get|bookingbusiness-get|bookingbusiness-list-appointments|bookingbusiness-list-appoi,https://graphpermissions.merill.net/permission/Bookings.Read.All.html
Bookings.ReadWrite.All,False,False,Read and write bookings information,60,,,bookingbusiness-get|bookingbusiness-get|bookingcustomquestion-update|bookingcustomquestion-update|bo,https://graphpermissions.merill.net/permission/Bookings.ReadWrite.All.html
BookingsAppointment.ReadWrite.All,False,False,Read and write booking appointments,44,,,bookingbusiness-get|bookingbusiness-get|bookingcustomquestion-update|bookingbusiness-list-appointmen,https://graphpermissions.merill.net/permission/BookingsAppointment.ReadWrite.All.html
Bookmark.Read.All,False,False,Read all bookmarks that the user can access,1,,,search-query|search-query|,https://graphpermissions.merill.net/permission/Bookmark.Read.All.html
BrowserSiteLists.Read.All,False,False,Read browser site lists for your organization,6,,,browsersite-get|browsersite-get|browsersitelist-get|browsersitelist-get|browsersitelist-list-sites|b,https://graphpermissions.merill.net/permission/BrowserSiteLists.Read.All.html
BrowserSiteLists.ReadWrite.All,False,False,Read and write browser site lists for your organization,16,,,browsersite-get|browsersite-get|browsersitelist-get|browsersitelist-get|browsersitelist-list-sites|b,https://graphpermissions.merill.net/permission/BrowserSiteLists.ReadWrite.All.html
BusinessScenarioConfig.Read.OwnedBy,False,False,Read business scenario configurations this app creates or owns,6,,,plannerplanconfiguration-get|plannerplanconfiguration-get|plannertaskconfiguration-get|plannertaskco,https://graphpermissions.merill.net/permission/BusinessScenarioConfig.Read.OwnedBy.html
BusinessScenarioConfig.ReadWrite.OwnedBy,False,False,Read and write business scenario configurations this app creates or owns,11,,,plannertaskconfiguration-update|plannertaskconfiguration-update|plannerplanconfiguration-get|planner,https://graphpermissions.merill.net/permission/BusinessScenarioConfig.ReadWrite.OwnedBy.html
BusinessScenarioData.Read.OwnedBy,False,False,Read all data for business scenarios this app creates or owns,3,,,businessscenarioplanner-getplan|businessscenarioplanner-getplan|businessscenarioplanner-list-tasks|b,https://graphpermissions.merill.net/permission/BusinessScenarioData.Read.OwnedBy.html
BusinessScenarioData.ReadWrite.OwnedBy,False,False,Read and write all data for business scenarios this app creates or owns,6,,,businessscenarioplanner-getplan|businessscenarioplanner-getplan|businessscenarioplanner-list-tasks|b,https://graphpermissions.merill.net/permission/BusinessScenarioData.ReadWrite.OwnedBy.html
Calendars.Read,False,False,"Read user calendars ",99,,,user-list-calendarview|user-list-calendarview|user-list-calendarview|user-list-calendarview|calendar,https://graphpermissions.merill.net/permission/Calendars.Read.html
Calendars.ReadBasic.All,False,False,"Read basic details of calendars in all mailboxes ",0,,,,https://graphpermissions.merill.net/permission/Calendars.ReadBasic.All.html
Calendars.ReadWrite,False,False,"Have full access to user calendars ",235,,,user-list-calendarview|user-list-calendarview|user-list-calendarview|user-list-calendarview|event-up,https://graphpermissions.merill.net/permission/Calendars.ReadWrite.html
CallEvents-Emergency.Read.All,False,False,Read all emergency call events,0,,,,https://graphpermissions.merill.net/permission/CallEvents-Emergency.Read.All.html
CallEvents.Read.All,False,False,Read all call events,0,,,,https://graphpermissions.merill.net/permission/CallEvents.Read.All.html
CallRecord-PstnCalls.Read.All,False,False,Read PSTN and direct routing call log data,0,,,,https://graphpermissions.merill.net/permission/CallRecord-PstnCalls.Read.All.html
CallRecords.Read.All,False,False,Read all call records,15,,,callrecords-callrecord-getpstncalls|callrecords-callrecord-list-sessions|callrecords-callrecord-get|,https://graphpermissions.merill.net/permission/CallRecords.Read.All.html
Calls.AccessMedia.All,False,False,Access media streams in a call as an app,26,,,call-logteleconferencedevicequality|call-cancelmediaprocessing|call-delete|call-updaterecordingstatu,https://graphpermissions.merill.net/permission/Calls.AccessMedia.All.html
Calls.Initiate.All,False,False,Initiate outgoing 1 to 1 calls from the app,25,,,call-cancelmediaprocessing|call-list-contentsharingsessions|call-delete|call-transfer|call-redirect|,https://graphpermissions.merill.net/permission/Calls.Initiate.All.html
Calls.InitiateGroupCall.All,False,False,Initiate outgoing group calls from the app,18,,,call-list-contentsharingsessions|call-post-audioroutinggroups|call-post-audioroutinggroups|audiorout,https://graphpermissions.merill.net/permission/Calls.InitiateGroupCall.All.html
Calls.JoinGroupCall.All,False,False,Join group calls and meetings as an app,29,,,call-list-contentsharingsessions|call-answer|call-post-audioroutinggroups|call-post-audioroutinggrou,https://graphpermissions.merill.net/permission/Calls.JoinGroupCall.All.html
Calls.JoinGroupCallAsGuest.All,False,False,Join group calls and meetings as a guest,17,,,call-list-contentsharingsessions|call-answer|call-addlargegalleryview|call-addlargegalleryview|parti,https://graphpermissions.merill.net/permission/Calls.JoinGroupCallAsGuest.All.html
ChangeManagement.Read.All,False,False,Read Change Management items,0,,,,https://graphpermissions.merill.net/permission/ChangeManagement.Read.All.html
Channel.Create,False,False,Create channels,1,,,channel-post|channel-post|channel-post|channel-post|,https://graphpermissions.merill.net/permission/Channel.Create.html
Channel.Delete.All,False,False,Delete channels,2,,,channel-delete|channel-delete|team-delete-incomingchannels|team-delete-incomingchannels|channel-dele,https://graphpermissions.merill.net/permission/Channel.Delete.All.html
Channel.ReadBasic.All,False,False,Read the names and descriptions of channels,11,,,team-list-allchannels|team-list-allchannels|team-get-primarychannel|team-get-primarychannel|channel-,https://graphpermissions.merill.net/permission/Channel.ReadBasic.All.html
ChannelMember.Read.All,False,False,Read the members of channels,16,,,sharedwithchannelteaminfo-get|sharedwithchannelteaminfo-get|sharedwithchannelteaminfo-list|sharedwit,https://graphpermissions.merill.net/permission/ChannelMember.Read.All.html
ChannelMember.ReadWrite.All,False,False,Add and remove members from channels,19,,,sharedwithchannelteaminfo-get|sharedwithchannelteaminfo-get|channel-post-members|channel-post-member,https://graphpermissions.merill.net/permission/ChannelMember.ReadWrite.All.html
ChannelMessage.Read.All,False,False,Read user channel messages,17,,,chatmessage-list-hostedcontents|chatmessage-list-hostedcontents|chatmessage-list-hostedcontents|chat,https://graphpermissions.merill.net/permission/ChannelMessage.Read.All.html
ChannelMessage.UpdatePolicyViolation.All,False,False,Flag channel messages for violating policy,2,,,chatmessage-update|chatmessage-update|chatmessage-update|chatmessage-update|,https://graphpermissions.merill.net/permission/ChannelMessage.UpdatePolicyViolation.All.html
ChannelSettings.Read.All,False,False,"Read the names, descriptions, and settings of channels",11,,,team-list-allchannels|team-list-allchannels|team-get-primarychannel|team-get-primarychannel|channel-,https://graphpermissions.merill.net/permission/ChannelSettings.Read.All.html
ChannelSettings.ReadWrite.All,False,False,"Read and write the names, descriptions, and settings of channels",12,,,team-list-allchannels|team-list-allchannels|channel-patch|channel-patch|channel-removeemail|channel-,https://graphpermissions.merill.net/permission/ChannelSettings.ReadWrite.All.html
Chat.Create,False,False,Create chats,1,,,chat-post|chat-post|chat-post|chat-post|,https://graphpermissions.merill.net/permission/Chat.Create.html
Chat.ManageDeletion.All,False,False,Delete and recover deleted chats,3,,,deletedchat-get|deletedchat-get|deletedchat-undodelete|deletedchat-undodelete|chat-delete|chat-delet,https://graphpermissions.merill.net/permission/Chat.ManageDeletion.All.html
Chat.Read.All,False,False,Read all chat messages,30,,,conversationmember-list|chat-get|chat-get|chat-get|chats-getallmessages|chatmessage-delta|chatmessag,https://graphpermissions.merill.net/permission/Chat.Read.All.html
Chat.Read.WhereInstalled,False,False,Read all chat messages for chats where the associated Teams application is installed.,6,,,subscription-post-subscriptions|subscription-post-subscriptions|subscription-post-subscriptions|subs,https://graphpermissions.merill.net/permission/Chat.Read.WhereInstalled.html
